0	0	214	0	0	15	30	0	0
0	0	124	0	0	1	0	0	0
165	63	423	0	0	190	233	0	0
286	115	467	0	0	181	512	0	0
746	809	745	0	0	648	1336	0	0
1331	2148	1098	0	0	1067	1964	0	0
1355	2591	1328	0	0	1074	2143	0	0
345	223	747	0	0	246	528	0	0
205	112	675	0	0	255	579	0	0
9	24	430	0	0	105	137	0	0
0	6	380	0	0	129	78	0	0
0	0	131	0	0	19	26	0	0
0	0	148	0	0	25	0	0	0
0	0	0	0	0	1	14	0	0
0	0	131	0	0	15	3	0	0
0	0	5	0	0	1	1	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	58	0	0	0	0
0	0	0	0	1313	778	0	0	0
0	0	0	0	2348	2263	0	0	0
0	0	0	0	2633	3546	0	0	0
30	0	0	0	2952	5514	4	0	0
3	0	0	0	3661	8637	454	0	0
20	0	0	0	5705	12217	1563	0	0
10	0	0	0	7640	15667	3066	0	0
0	0	0	0	7736	17918	3413	0	0
0	0	0	0	7226	19667	3427	0	0
0	0	0	0	7135	21363	3116	0	0
0	0	0	0	5994	19724	3078	0	0
0	0	0	0	2305	15001	2208	0	0
0	0	0	0	4158	10801	1564	0	0
0	0	0	0	5500	10290	1589	0	0
0	0	0	0	5546	12926	2423	0	0
0	0	0	0	5506	16201	3457	0	0
0	0	0	0	5522	17506	3643	0	0
0	0	0	0	4565	16927	3002	0	0
0	0	0	0	4534	15614	3256	0	0
0	0	0	0	4238	11727	3418	0	0
0	0	0	0	3650	11008	4204	0	0
0	0	0	0	1265	9502	4176	0	0
0	0	0	0	1909	10445	3301	0	0
0	0	0	0	3209	11277	2234	0	0
0	0	0	0	4032	11755	2475	0	0
0	0	0	0	4764	11079	3359	0	0
0	0	0	0	5735	10936	4037	0	0
0	0	0	0	6642	11537	4261	0	0
0	0	0	0	7744	13969	4269	0	0
0	0	0	0	9336	17816	4990	0	0
6	0	0	0	10432	19672	5378	0	0
0	0	0	0	11387	19347	5060	0	0
34	0	0	0	12503	18792	3901	0	0
0	0	0	0	13713	21605	6052	0	0
0	0	0	0	15566	23048	6991	0	0
0	0	0	0	16903	23912	6993	0	0
0	0	0	0	17270	22970	7213	0	0
0	0	0	0	16378	16245	7283	0	0
0	0	0	0	14095	9724	5569	0	0
0	0	0	0	10559	7561	4601	0	0
0	0	0	0	4762	6946	4600	0	0
0	0	0	0	1396	5102	3613	0	0
0	0	0	0	5551	9626	4866	0	0
0	0	0	0	9493	14068	5871	0	0
0	0	0	0	11431	15850	5709	0	0
0	0	0	0	11860	15161	4691	0	0
0	0	0	0	12011	14389	3773	0	0
0	0	0	0	11953	13864	4068	0	0
0	0	0	0	11334	13068	4485	0	0
0	0	0	0	10332	11987	5630	0	0
