"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
151,0,0,0,2964,18499,4895
152,0,0,0,3149,19151,5119
153,0,0,0,2476,19533,5021
154,0,0,0,2574,18503,7398
155,0,0,0,2711,16912,8231
156,0,0,0,2820,13540,9542
157,0,0,0,2824,9642,11715
158,0,0,0,1841,8519,15913
159,0,0,0,1503,9494,19676
160,0,2,0,1584,9971,17793
161,0,2,0,1676,9870,16176
162,0,0,811,2484,8914,14300
163,0,0,2067,3164,8496,11862
164,0,0,1989,3895,11086,15870
165,0,0,1804,5265,14870,22386
166,0,0,908,6204,17272,24196
167,0,0,0,6819,17109,23268
168,0,0,0,7224,13626,22753
169,0,0,0,7273,13180,19188
170,0,5,0,7374,13037,15763
171,0,0,0,7471,12698,13772
172,0,0,0,7592,13052,7332
173,0,0,0,6841,14852,10717
174,0,0,0,6086,18983,12591
175,0,0,0,5732,24092,14904
176,0,0,0,5496,25733,17019
177,0,0,0,5010,27043,19244
178,0,0,0,4666,27997,21817
179,0,0,0,4498,26951,20137
180,0,0,0,4085,26062,16826
181,0,0,0,3741,23784,18500
182,0,0,0,3220,22184,15941
183,0,0,0,2659,18940,12290
184,0,0,0,1959,13274,8905
185,0,0,0,1332,4651,4004
186,0,0,0,868,5648,4050
187,0,0,0,620,5563,3953
188,0,0,0,424,7830,8038
189,0,0,0,382,10586,10840
190,0,0,0,139,10906,10762
191,0,0,0,155,12922,14848
192,0,0,0,552,12337,11366
193,0,0,0,975,8140,7637
194,0,0,0,1154,5115,9890
195,0,0,0,1298,7355,8720
196,0,0,0,1507,8460,4452
197,0,0,0,1701,8115,8744
198,0,0,0,1778,6567,10615
199,0,0,0,2018,9061,8192
200,0,0,0,2194,8017,4677
201,0,0,0,2399,6706,2362
202,0,0,0,2562,6717,4658
203,0,0,0,2585,8486,5618
204,5,0,0,2733,9674,8784
205,0,0,0,2767,10332,8998
206,0,0,0,2881,11741,9025
207,0,0,0,2791,13557,8626
208,0,0,0,2629,12862,7758
209,0,0,0,2749,10879,5087
210,0,0,0,2637,9913,2736
211,0,0,0,2728,8447,5719
212,0,0,0,2727,5718,6142
213,0,0,0,2626,4352,2588
214,0,0,0,2196,4556,5879
215,0,0,0,1900,5163,8222
216,0,0,0,1421,5205,8886
217,0,0,0,1241,4166,4762
218,0,0,0,1010,2928,2382
219,0,0,0,938,4031,6756
220,0,0,0,839,4631,8843
221,0,0,0,1035,6387,8083
222,0,0,0,622,3878,2225
223,0,2,0,386,2868,7883
224,0,0,0,87,2244,8118
225,0,0,0,2,1915,7305
226,0,0,0,186,1520,3691
227,0,0,0,63,2417,4398
228,0,0,0,111,1190,6690
229,0,0,0,213,2264,7469
230,0,0,0,156,1379,3759
231,0,0,0,49,692,2995
232,0,0,0,0,820,4824
233,0,0,0,8,1100,4520
234,0,0,0,155,1128,3550
235,0,0,0,6,608,2303
236,0,1,0,96,938,3124
237,0,0,0,200,2316,4311
238,0,0,0,227,3598,5746
239,0,0,0,317,3597,4113
240,0,0,0,341,1994,872
241,0,0,0,477,2346,2734
242,0,0,0,549,1630,2840
243,0,0,0,703,1537,3518
244,0,0,0,965,2095,2631
245,0,0,0,1060,2622,1416
246,0,0,0,1432,4160,1529
247,0,0,0,1638,4663,2484
248,0,0,0,2196,5496,3603
249,0,0,0,2691,5906,4249
250,0,0,0,3130,5321,1132
251,0,0,0,3325,4633,2802
252,0,0,0,3562,5187,3510
253,0,0,0,3421,5359,3710
254,0,0,0,3418,5371,4656
255,0,0,0,3265,5019,4569
256,0,0,0,3196,4989,2940
257,0,0,0,3090,5285,4962
258,0,0,0,2900,5653,4385
259,0,0,0,2795,6547,5995
260,0,0,0,2541,5006,6993
261,0,0,0,2422,4446,6991
262,0,0,0,2115,2851,5431
263,0,0,0,2077,6944,5812
264,0,0,0,1888,9279,6876
265,0,0,0,1615,8979,5748
266,0,0,0,1078,8909,5802
267,0,0,0,810,7351,6652
268,0,0,0,791,4476,6369
269,0,0,0,902,3195,6298
270,0,0,0,992,4586,5973
271,0,0,0,1449,7006,4885
272,0,0,0,1871,8790,7462
273,0,0,0,2212,10674,9353
274,0,0,0,2499,11779,9727
275,0,0,0,2683,11956,10404
276,0,0,0,2557,10343,9822
277,0,0,0,2413,7854,8489
278,0,0,0,2172,5201,2586
279,0,0,0,2086,4594,2666
280,0,0,0,2232,3288,3918
281,0,0,0,2347,6157,3247
282,0,0,0,1895,9642,3233
283,0,0,0,1398,12909,4956
284,0,0,0,723,13014,5978
285,0,0,0,902,9215,6730
286,0,0,0,1248,7586,7074
287,0,0,0,1760,9150,7666
288,0,0,0,2256,10821,8102
289,0,0,0,2908,10415,7565
290,0,0,0,3257,9794,10333
291,0,0,0,3090,11018,11109
292,0,0,0,2547,10550,12047
293,0,0,0,1816,9734,13321
294,0,0,0,1164,7000,11090
295,0,0,0,789,5363,7796
296,0,0,0,434,3806,4381
297,0,0,0,146,5938,7883
298,0,0,0,612,8850,10456
299,0,0,0,1365,10592,10636
300,0,0,0,2027,11400,10273
301,0,0,0,2696,12335,9150
302,0,0,0,3308,14107,7842
303,0,0,0,3666,15634,7059
304,0,0,0,4094,17531,7938
305,0,0,0,4599,18948,8568
306,0,0,0,5258,19851,9670
307,0,0,0,5967,20966,9520
308,0,0,0,6209,21255,9145
309,0,0,0,6543,21764,7999
310,0,0,0,6626,20667,6123
311,0,0,0,6499,18885,3805
312,0,0,0,6202,18289,2512
313,0,0,0,5701,18481,1971
314,0,0,0,4525,17035,2346
315,0,0,0,3550,15946,2901
316,0,0,0,2639,11499,4564
317,0,0,0,2007,12150,4606
318,0,0,0,1035,11015,4549
319,0,0,0,421,11416,3410
320,0,0,0,1114,9156,1669
321,0,0,0,2462,8601,817
322,0,0,0,3529,7983,282
323,0,0,0,4072,5764,110
324,0,0,0,4381,5528,252
325,0,0,0,4170,6343,659
326,0,0,0,3996,5944,508
327,0,0,0,3823,4424,400
328,0,0,0,3505,2604,20
329,0,0,0,3038,2020,139
330,0,0,0,2517,1298,8
331,0,0,0,1900,781,54
332,0,0,0,1123,807,54
333,0,0,0,266,447,110
334,0,0,0,64,957,0
335,0,0,0,516,1380,53
336,0,0,0,865,3304,67
337,0,0,0,1342,3898,327
338,0,0,0,1713,4046,381
339,0,0,0,2001,3135,143
340,0,0,0,2027,1838,25
341,0,0,0,2120,1024,49
342,0,0,0,1873,1272,58
343,0,0,0,1734,1498,21
344,0,0,0,1387,1534,1
345,0,0,0,1260,1673,0
346,0,0,0,989,1367,6
347,0,0,0,437,829,4
348,0,0,0,51,404,0
349,0,0,0,16,137,0
350,0,0,0,10,101,0
351,0,0,0,0,131,0
352,0,0,0,51,221,0
353,0,0,0,129,620,0
354,0,0,0,135,529,4
355,0,0,0,84,221,27
356,0,0,0,71,149,12
357,0,0,0,4,5,0
358,0,0,0,18,79,5
359,0,0,0,23,404,12
360,0,0,0,5,371,12
361,0,0,0,0,408,50
362,0,0,0,10,124,11
363,0,0,0,60,103,3
364,0,0,0,75,235,0
365,0,0,0,169,526,40
366,0,0,0,321,630,85
367,0,0,0,577,552,6
368,0,0,0,654,1502,14
369,0,0,0,983,2531,90
370,0,0,0,1117,2514,180
371,0,0,0,983,1722,199
372,0,0,0,942,1178,0
373,0,0,0,896,654,0
374,0,0,0,750,801,0
375,0,0,0,493,444,0
376,0,0,0,269,263,17
377,0,0,0,96,294,0
378,0,0,0,579,1008,0
379,0,0,0,1032,1615,20
380,0,0,0,1175,1431,20
381,0,0,0,845,1519,0
382,0,0,0,305,1046,11
383,0,0,0,187,384,0
384,0,0,0,2,889,0
385,0,0,0,56,1439,2
386,0,0,0,70,1768,0
387,0,0,0,48,1227,0
388,0,0,0,0,649,0
389,0,0,0,46,677,0
390,0,0,0,184,234,0
391,0,0,0,117,44,0
392,0,0,0,40,11,0
393,0,0,0,128,106,0
394,0,0,0,73,164,0
395,0,0,0,133,244,0
396,0,0,0,33,91,0
397,0,0,0,6,1,0
398,0,0,0,3,6,0
399,0,0,0,6,0,0
400,0,0,0,0,0,0
401,0,0,0,31,29,0
402,0,0,0,311,198,0
403,0,0,0,563,264,0
404,0,0,0,633,297,0
405,0,0,0,838,438,0
406,0,0,0,875,602,0
407,0,0,0,902,422,34
408,0,0,0,896,423,32
409,0,0,0,857,373,10
410,0,0,0,946,2028,25
411,0,0,0,769,3990,0
412,0,0,0,712,4342,8
413,0,0,0,506,3906,0
414,0,0,0,278,4199,1
415,0,0,0,68,4719,5
416,0,0,0,89,5160,24
417,0,0,0,322,4790,42
418,0,0,0,485,4728,153
419,0,0,0,497,6218,141
420,0,0,0,731,6088,59
421,0,0,0,734,5667,26
422,0,0,0,678,4411,29
423,0,0,0,779,1203,27
424,0,0,0,865,3862,106
425,0,0,0,883,5575,242
426,0,0,0,774,6247,286
427,0,0,0,633,5573,218
428,0,0,0,650,5431,23
429,0,0,0,585,6004,70
430,0,0,0,219,6842,261
431,0,0,0,409,6236,295
432,0,0,0,271,4458,108
433,0,0,0,94,3552,132
