"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
211,38,886,0,2578,9211,8827
212,129,1040,22,2327,8104,9376
213,177,1359,11,1835,7424,9554
214,200,1452,12,1520,7271,8416
215,231,1650,0,1181,8259,8344
216,140,2093,63,1042,7545,8218
217,73,2068,634,770,7941,8038
218,17,1370,867,1141,8311,6264
219,3,515,204,1943,9935,4446
220,21,443,289,2691,10375,2821
221,0,184,62,3366,8763,2993
222,8,24,48,3633,8971,3756
223,51,50,96,3725,8284,4623
224,247,111,57,3258,6760,5082
225,592,134,93,3011,4576,5325
226,824,271,226,2343,4842,5856
227,806,324,239,1975,5384,4589
228,850,352,316,1401,6007,3411
229,759,514,228,1129,6330,2271
230,629,639,155,900,6004,1008
231,474,694,0,1220,6335,1083
232,321,831,0,1591,6775,2084
233,208,1073,36,1774,7026,3655
234,118,1192,37,2279,7089,4958
235,326,542,31,2202,6126,5205
236,477,327,14,2167,4859,4627
237,706,174,0,2163,3643,4149
238,670,439,0,1985,2468,3621
239,551,851,18,1917,2213,2582
240,391,936,12,1785,2698,330
241,391,291,14,1592,2944,846
242,283,195,79,1026,2283,1331
243,313,10,13,562,3433,930
244,114,169,70,362,3920,2600
245,222,160,147,396,4033,1659
246,59,4,0,723,4376,217
247,126,55,11,757,6588,481
248,16,163,4,851,5701,363
249,142,199,22,636,2947,161
250,140,200,52,393,1316,200
251,395,1,1,114,2534,550
252,485,35,0,137,2110,69
253,667,55,7,777,3480,267
254,953,73,0,339,2986,221
255,1084,6,0,138,1991,95
256,1337,90,14,68,716,66
257,1562,168,6,60,110,99
258,1649,124,0,28,184,31
259,1807,59,0,19,229,6
260,1958,8,0,20,250,3
261,2002,18,0,2,471,33
262,2153,57,0,23,1211,169
263,2251,51,0,131,3296,739
264,2229,64,0,295,3630,753
265,2088,17,0,273,2275,216
266,1969,57,0,81,534,26
267,1827,37,0,0,1953,342
268,1658,61,0,27,2511,474
269,1572,11,0,253,2508,699
270,1335,15,0,520,1930,373
271,1074,20,0,623,907,112
272,879,0,0,534,543,823
273,613,0,0,282,216,2892
274,422,0,0,85,322,666
275,254,0,0,33,453,619
276,141,0,0,18,291,11
277,57,1,0,26,331,3
278,7,0,0,71,269,176
279,0,0,0,143,357,3
280,0,0,0,352,609,0
281,21,0,0,522,915,0
282,48,0,0,677,849,0
283,100,0,0,744,975,1
284,122,0,0,690,770,84
285,200,0,0,723,685,409
286,201,0,0,675,571,357
287,248,0,0,559,153,11
288,298,0,0,498,67,201
289,355,0,0,392,52,2217
290,490,0,0,320,50,1828
291,554,0,0,126,39,595
292,559,0,0,86,58,74
293,515,0,0,4,20,1
294,459,0,0,5,11,15
295,425,0,0,0,0,7
296,306,0,0,0,26,0
297,241,0,0,0,2,0
298,238,0,0,0,0,0
299,195,0,0,0,95,0
300,160,0,0,0,35,0
301,58,0,0,4,189,2
302,66,0,0,0,56,0
303,25,0,0,0,70,0
304,0,0,0,0,66,0
305,4,0,0,0,48,2
306,0,0,0,0,36,32
307,0,0,0,0,91,27
308,4,0,0,0,103,57
309,0,0,0,0,208,0
310,0,0,0,0,300,2
311,0,0,0,0,244,18
312,0,0,0,0,123,77
313,0,0,0,0,23,333
314,0,0,0,0,3,87
315,0,0,0,0,96,51
316,0,0,0,0,292,55
317,0,0,0,0,206,18
318,0,0,0,0,111,34
319,0,0,0,1,14,0
320,0,0,0,5,24,8
321,0,0,0,70,0,0
322,0,0,0,0,15,0
323,0,0,0,0,35,0
324,0,0,0,0,8,0
325,0,0,0,12,3,0
326,0,0,0,16,73,0
327,0,0,0,199,70,0
328,0,0,0,327,168,0
329,0,0,0,403,171,0
330,0,0,0,554,141,0
331,0,0,0,642,124,0
332,0,0,0,581,61,0
333,0,0,0,516,22,0
334,0,0,0,278,27,0
335,0,0,0,173,14,0
336,0,0,0,43,7,0
337,0,0,0,9,4,0
338,0,0,0,114,6,0
339,0,0,0,271,42,0
340,0,0,0,214,1272,129
341,36,0,0,186,3479,416
342,11,0,0,298,4608,871
343,0,0,0,204,4118,1249
344,0,0,0,187,2010,167
345,0,0,0,233,1132,147
346,9,0,0,511,3937,778
347,0,0,0,989,3720,1712
348,0,0,0,1476,2574,2109
349,0,0,0,1599,1676,96
350,0,0,0,1339,1024,163
351,0,0,0,1041,640,11
352,0,0,0,636,604,28
353,0,0,0,374,703,12
354,0,0,0,90,204,4
355,0,0,0,31,34,0
356,0,0,0,29,13,6
357,0,0,0,64,103,17
358,0,0,0,108,225,1
359,0,0,0,106,370,4
360,0,0,0,70,93,0
361,0,0,0,12,52,2
362,0,0,0,0,12,0
363,10,0,0,0,16,27
364,53,0,0,1,31,15
365,114,0,0,48,190,0
366,141,0,0,17,115,0
367,147,0,0,58,300,3
368,176,0,0,141,424,43
369,171,0,0,98,212,55
370,187,0,0,103,105,25
371,97,0,0,95,98,25
372,38,0,0,91,36,0
373,8,0,0,30,49,17
374,2,0,0,2,178,33
375,4,0,0,0,172,37
376,3,0,0,0,179,64
377,9,0,0,3,77,42
378,16,0,0,21,12,4
379,28,0,0,64,7,0
380,28,0,0,157,59,0
381,71,0,0,193,76,0
382,46,0,0,330,46,0
383,87,0,0,254,83,0
384,26,0,0,378,44,0
385,14,0,0,337,33,0
386,2,0,0,327,144,0
387,0,0,0,231,32,0
388,0,0,0,77,17,0
389,0,0,0,43,208,0
390,0,0,0,0,20,0
391,0,0,0,0,55,0
392,0,0,0,54,8,0
393,0,0,0,223,40,0
394,0,0,0,329,75,0
395,0,0,0,508,54,0
396,0,0,0,571,115,0
397,0,0,0,672,92,0
398,0,0,0,518,87,0
399,0,0,0,492,87,0
400,0,0,0,314,70,0
401,0,0,0,193,38,0
402,0,0,0,9,18,0
403,0,0,0,0,7,0
404,0,0,0,0,7,0
405,17,0,0,34,61,0
406,50,0,0,220,145,0
407,8,0,0,269,233,0
408,0,0,0,325,257,0
409,0,0,0,352,325,0
410,0,0,0,299,317,0
411,0,0,0,203,195,0
412,0,0,0,28,40,0
413,0,0,0,3,124,0
414,0,0,0,0,30,0
415,0,0,0,0,11,0
416,0,0,0,0,43,8
417,0,0,0,0,8,16
418,0,0,0,0,26,31
419,0,0,0,0,77,50
420,8,0,0,1,63,73
421,11,0,0,29,130,110
422,13,0,0,0,127,111
423,15,0,0,29,226,95
424,4,0,0,215,305,61
425,0,0,0,348,456,6
426,0,0,0,504,571,78
427,0,0,0,582,1305,145
428,0,0,0,678,1793,158
429,0,0,0,704,2462,82
430,0,0,0,745,3186,51
431,0,0,0,725,3608,39
432,0,0,0,789,3977,39
433,0,0,0,717,3901,39
434,3,0,0,689,3981,70
435,0,0,0,737,4398,173
436,0,0,0,927,4995,304
437,0,0,0,1200,5494,443
438,0,0,0,1601,5730,496
439,1,0,0,1889,5103,445
440,0,0,0,1804,4706,378
441,1,0,0,1519,3769,212
442,22,0,0,1156,2500,57
443,0,0,0,697,1371,55
444,0,0,0,377,404,33
445,0,0,0,264,338,0
446,0,0,0,235,970,13
447,0,0,0,457,1661,21
448,0,0,0,731,2037,143
449,0,0,0,798,2226,225
450,0,0,0,737,1737,201
451,0,0,0,908,1651,374
452,0,0,0,1179,1517,184
453,0,0,0,1273,1303,36
454,0,0,0,1163,1205,0
455,31,0,0,1038,1146,7
456,191,0,0,633,840,30
457,313,0,0,521,472,107
458,428,0,0,374,283,159
459,548,0,0,306,55,193
460,515,0,0,232,61,158
461,484,0,0,225,85,47
462,434,0,0,224,35,1
463,348,0,0,392,38,4
464,278,0,0,544,68,20
465,189,0,0,576,81,19
466,103,0,0,640,296,27
467,11,0,0,684,274,25
468,0,0,0,821,361,8
469,0,0,0,909,459,0
470,0,0,0,943,530,113
471,76,0,0,979,441,88
472,266,0,0,875,304,2
473,663,0,0,684,272,10
474,1243,0,0,424,88,14
475,1476,0,0,133,110,132
476,1732,0,0,35,81,149
477,1718,4,0,0,36,34
478,1453,10,0,0,10,0
479,1066,13,0,0,11,0
480,849,1,0,3,23,0
481,659,0,0,39,74,3
482,473,0,0,118,180,0
483,343,0,0,186,86,0
484,282,0,0,245,6,0
485,202,0,0,168,15,0
486,176,0,0,134,5,0
487,130,0,0,54,6,4
488,10,0,0,27,4,0
489,0,0,0,52,21,0
490,0,0,0,74,0,1
491,0,0,0,121,11,12
492,8,0,0,80,12,0
493,115,0,0,38,7,0
494,354,0,0,35,3,23
495,576,0,0,0,3,16
496,695,0,0,5,15,0
497,767,0,0,1,0,0
498,839,0,0,0,4,0
499,825,0,0,0,39,18
500,874,0,0,0,123,23
501,837,0,0,10,66,5
502,838,0,0,19,55,0
503,929,0,0,48,75,0
504,884,0,0,65,49,0
505,867,0,0,52,36,0
