"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
391,6,3,0,22,0,7
392,0,0,0,102,0,18
393,0,0,1,98,0,0
394,0,0,0,86,0,1
395,0,0,0,10,0,0
396,1,21,0,0,0,0
397,0,37,0,2,0,0
398,45,9,0,0,1,0
399,0,4,0,0,0,4
400,0,40,0,0,0,0
401,4,15,0,0,0,0
402,11,0,0,0,0,0
403,0,6,0,0,0,0
404,11,17,0,0,0,0
405,1,101,0,0,0,0
406,14,74,0,0,0,0
407,0,36,0,8,0,0
408,0,0,0,44,0,0
409,1,0,0,62,0,0
410,9,0,0,54,0,0
411,0,3,0,5,0,0
412,13,60,0,0,0,0
413,5,21,0,0,0,0
414,0,35,0,0,0,0
415,0,36,0,0,0,0
416,0,82,0,4,0,0
417,0,10,0,19,0,0
418,0,0,0,15,0,0
419,15,0,0,20,0,1
420,9,2,0,0,0,0
421,1,27,0,1,4,0
422,42,6,0,0,24,0
423,21,0,0,0,41,0
424,29,45,0,0,40,0
425,45,41,0,0,23,0
426,14,35,0,0,26,0
427,41,25,0,0,0,0
428,16,22,0,0,0,0
429,16,36,0,0,7,8
430,45,88,0,0,38,12
431,30,194,0,0,0,2
432,1,136,0,0,8,0
433,0,0,0,0,0,0
434,1,0,0,0,0,0
435,0,0,0,0,6,0
436,0,0,0,0,3,0
437,0,11,0,0,64,0
438,0,46,0,0,0,5
439,0,9,0,0,0,3
440,0,40,0,0,0,13
441,0,81,0,0,0,0
442,0,67,0,0,0,2
443,0,85,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,1,0,5
447,0,0,0,0,0,0
448,0,0,0,0,0,7
449,0,0,0,0,0,4
450,0,7,0,0,0,7
451,2,10,1,0,1,0
452,0,47,0,0,0,0
453,0,29,0,0,0,0
454,0,1,0,0,0,0
455,0,2,0,0,0,0
456,0,21,0,0,0,0
457,8,74,0,0,0,0
458,0,165,0,0,0,2
459,0,110,0,0,0,0
460,0,15,0,0,0,0
461,0,0,0,0,0,0
462,0,0,0,0,0,2
463,0,0,0,0,0,0
464,11,0,0,0,0,0
465,0,15,0,0,0,0
466,8,2,3,6,0,0
467,9,4,0,0,0,0
468,0,3,0,0,0,0
469,4,40,0,0,0,0
470,0,21,0,0,0,0
471,3,15,0,0,0,0
472,0,0,0,0,0,0
473,5,0,0,0,0,0
474,44,0,0,0,0,0
475,33,6,0,0,0,0
476,32,3,0,0,0,0
477,26,10,0,0,0,0
478,156,20,0,0,0,0
479,105,9,0,0,0,4
480,279,6,0,0,0,0
481,196,0,0,0,0,0
482,187,0,0,0,0,0
483,71,61,0,0,0,0
484,40,166,0,0,0,0
485,0,178,0,2,0,1
486,36,25,0,0,0,0
487,77,11,0,0,0,0
488,158,14,0,0,0,0
489,224,34,0,0,0,0
490,109,43,0,19,0,0
491,215,54,0,58,0,0
492,43,49,2,55,0,0
493,84,4,1,24,0,0
494,6,9,0,0,0,0
495,0,35,0,17,0,0
496,0,99,0,29,0,0
497,0,116,0,35,0,0
498,33,98,0,0,2,0
499,11,22,0,0,0,2
500,135,0,0,0,0,0
501,8,0,0,0,0,0
502,31,0,0,1,0,0
503,13,2,0,4,0,0
504,0,40,0,75,0,0
505,0,26,0,156,0,0
506,0,26,0,93,0,0
507,0,16,1,19,0,0
508,3,69,0,57,3,0
509,6,115,0,104,0,4
510,0,158,0,108,0,0
511,0,279,0,79,2,0
512,0,345,0,19,0,1
513,0,422,0,0,0,20
514,0,403,0,1,0,0
515,1,345,0,0,0,0
516,1,350,0,0,0,8
517,2,421,0,0,0,0
518,28,52,0,0,0,0
519,0,4,0,0,0,0
520,0,49,0,0,0,0
521,0,130,0,0,0,0
522,0,212,0,0,0,6
523,10,6,0,0,0,66
524,17,36,0,0,0,87
525,43,38,0,0,0,167
526,17,165,0,0,0,260
527,3,171,0,0,0,372
528,0,64,0,16,0,341
529,0,91,0,31,0,384
530,1,159,0,15,0,250
531,0,192,0,5,0,257
532,5,214,0,0,0,84
533,0,205,0,0,0,27
534,5,71,0,0,0,5
535,0,7,0,0,0,14
536,0,5,0,0,0,0
537,0,0,0,8,0,0
538,0,0,0,12,0,0
539,0,20,0,0,0,0
540,6,62,0,0,0,0
541,6,49,0,4,0,0
542,0,20,0,14,0,0
543,0,87,0,9,0,0
544,0,158,0,4,0,45
545,0,268,0,0,0,34
546,0,224,0,8,0,59
547,0,114,0,10,0,68
548,0,21,0,4,0,40
549,0,2,0,6,0,85
550,0,0,0,0,0,119
551,0,0,0,0,0,200
552,0,9,0,10,0,260
553,0,6,0,30,0,330
554,0,24,0,31,0,361
555,0,9,0,1,0,313
556,0,52,0,0,1,376
557,0,144,0,0,0,365
558,0,131,0,24,0,297
559,0,134,0,31,0,344
560,0,123,0,21,0,232
561,0,84,0,18,0,235
562,0,73,0,0,0,129
563,0,27,0,0,0,140
564,0,0,0,0,0,28
565,0,49,0,0,0,22
566,0,0,0,0,0,1
567,0,2,0,8,0,1
568,0,0,0,0,0,0
569,19,0,0,0,0,0
570,0,0,0,0,0,0
571,12,1,0,7,0,0
572,7,0,0,12,0,0
573,5,0,0,70,0,0
574,1,0,0,41,0,0
575,40,0,0,14,0,0
576,0,0,0,27,0,0
577,14,0,0,44,0,0
578,0,0,0,78,0,5
579,6,1,0,64,0,0
580,0,0,0,75,0,0
581,0,0,0,103,0,5
582,0,0,0,122,0,0
583,0,0,0,92,0,1
584,0,0,0,108,1,0
585,0,21,0,12,0,0
586,0,0,0,87,0,0
587,0,0,0,103,0,2
588,0,0,0,33,0,0
589,0,0,0,0,0,1
590,0,0,0,0,0,2
591,0,0,0,0,0,59
592,0,0,0,0,0,10
593,0,0,0,0,0,18
594,0,6,0,0,0,2
595,0,0,0,0,0,1
596,0,0,0,0,0,0
597,0,0,0,0,0,0
598,0,0,0,0,0,0
599,0,0,0,0,0,0
600,0,0,0,0,8,0
601,0,1,0,0,0,0
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,0,6,0,0,0,0
605,0,6,0,0,0,0
606,0,0,0,0,0,0
607,0,0,0,0,0,0
608,3,0,0,0,0,0
609,7,0,0,0,0,0
610,0,32,0,0,0,0
611,51,34,0,0,0,4
612,10,8,0,0,0,8
613,76,3,0,0,0,0
614,76,13,0,5,0,0
615,147,0,0,3,0,0
616,156,41,0,0,0,0
617,206,7,0,0,0,2
618,130,0,0,0,0,63
619,156,4,0,0,0,79
620,16,0,0,0,0,30
621,62,6,0,0,0,10
622,0,5,0,11,0,20
623,5,0,0,16,0,34
624,0,19,0,25,0,8
625,0,34,0,0,0,0
626,0,165,0,0,0,0
627,0,141,0,0,0,0
628,2,186,0,0,0,0
629,0,5,0,10,0,5
630,4,0,0,1,0,12
631,10,9,0,8,2,32
632,6,0,0,8,0,6
633,0,0,0,30,0,0
634,3,10,6,63,0,0
635,44,0,0,83,0,0
636,0,16,0,31,0,0
637,0,64,0,23,0,18
638,18,176,0,18,0,53
639,0,27,0,1,0,58
640,0,1,0,1,0,76
641,1,0,0,7,0,18
642,6,10,0,4,0,9
643,0,0,0,1,0,22
644,0,5,0,0,0,19
645,1,13,0,0,0,4
646,1,15,0,8,0,0
647,0,0,0,26,0,0
648,0,0,0,34,0,1
649,20,5,15,57,6,24
650,0,67,0,15,0,8
651,0,0,7,0,0,30
652,0,0,0,0,0,28
653,0,3,0,0,0,17
654,0,0,0,20,0,7
655,0,0,0,37,0,1
656,0,0,0,38,0,12
657,0,0,0,9,0,0
658,4,2,0,9,0,0
659,11,5,0,0,0,0
660,0,29,0,0,0,0
661,2,32,0,0,0,0
662,0,0,0,0,0,3
663,0,0,0,0,0,0
664,0,0,0,19,0,0
665,0,0,0,12,0,0
666,0,0,0,59,0,7
667,0,1,0,2,0,0
668,0,0,0,0,0,2
669,0,0,0,0,0,0
670,0,0,0,0,0,1
671,0,3,0,0,0,0
672,0,0,0,0,0,0
673,0,0,0,0,0,0
674,0,1,0,6,0,0
675,0,2,0,26,0,9
676,0,3,0,34,0,7
677,0,0,0,9,0,2
678,0,11,0,0,0,0
679,0,4,0,42,0,0
680,0,0,0,0,0,0
681,0,0,0,24,0,0
682,0,5,0,101,0,10
683,0,0,0,126,0,8
684,3,3,0,46,0,12
685,0,39,0,16,0,18
686,0,24,0,0,0,4
687,0,0,0,0,0,0
688,0,0,0,0,0,13
689,0,0,0,0,0,0
690,0,0,0,0,0,12
691,0,0,0,2,0,19
692,0,2,0,0,0,8
693,0,0,0,0,0,8
694,0,0,0,0,0,0
695,0,0,0,0,0,2
696,0,16,0,0,0,0
697,0,12,0,25,0,0
698,0,20,0,29,0,0
699,0,20,0,25,0,0
700,0,38,0,14,0,0
701,0,37,0,11,0,0
702,0,0,0,0,0,0
703,0,3,0,0,0,0
704,0,3,0,0,0,0
705,0,0,0,0,0,0
706,0,0,0,0,0,0
707,0,2,0,3,0,0
708,0,0,0,0,0,0
709,0,3,0,0,0,0
710,0,21,0,0,0,0
711,0,11,0,0,0,0
712,0,43,0,0,0,0
713,0,40,0,0,0,0
714,0,0,0,0,0,0
715,0,0,0,0,0,0
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,0
719,0,0,0,0,0,0
720,0,0,0,0,0,0
721,0,4,0,0,0,0
722,0,0,0,0,1,2
723,0,0,0,0,0,9
724,0,3,0,5,0,37
725,0,41,0,1,0,6
726,0,89,0,8,0,1
727,0,79,0,0,0,0
728,0,0,0,0,0,0
729,2,0,0,0,0,0
730,0,0,0,0,0,2
731,0,0,0,5,0,0
732,0,0,0,0,0,0
733,0,2,0,0,0,0
734,0,31,0,2,0,1
735,0,0,0,0,0,2
736,0,17,0,0,0,18
737,0,37,0,10,0,34
738,0,62,0,6,0,102
739,0,13,0,0,0,144
740,0,7,0,11,0,94
741,0,0,0,3,0,0
742,0,0,0,0,0,0
743,6,0,0,3,0,2
744,0,0,0,0,0,0
745,0,0,0,0,0,0
746,1,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,2,0,0
749,0,0,0,0,0,0
750,0,0,0,0,0,2
751,0,0,0,30,0,0
752,0,0,0,33,0,0
753,0,5,0,75,0,0
754,0,43,0,99,0,0
755,0,29,0,63,0,0
756,0,58,0,38,0,0
757,0,59,0,35,0,0
758,0,7,0,15,0,4
759,0,0,0,22,0,0
760,0,0,0,28,0,15
761,3,0,0,64,0,0
762,0,0,0,57,0,12
763,0,8,0,35,0,0
764,0,35,0,30,0,9
765,0,4,0,0,0,11
766,0,22,0,0,0,0
767,0,63,0,0,0,0
768,0,39,2,0,0,0
769,0,11,0,14,0,0
770,0,0,0,0,0,14
771,0,0,0,0,0,5
772,0,0,0,0,0,0
773,0,0,0,0,0,4
774,0,0,0,0,0,0
775,0,0,0,0,0,6
776,0,0,0,0,0,14
777,0,0,0,2,0,0
778,0,0,0,0,0,10
779,4,0,0,0,0,62
780,0,6,0,0,0,129
781,0,20,0,2,0,170
782,0,4,0,2,0,178
783,2,56,0,0,0,64
784,0,81,0,0,0,59
785,0,81,0,0,0,0
786,0,38,0,14,0,0
787,0,9,0,1,0,68
788,0,3,0,0,0,238
789,0,21,0,2,0,138
790,0,24,0,7,0,31
791,0,159,0,0,0,2
792,0,169,0,0,0,30
793,0,76,0,0,0,132
794,50,25,0,0,0,213
795,0,43,0,0,0,288
796,1,36,0,1,0,215
797,2,15,0,0,0,69
798,2,3,0,0,0,50
799,0,0,0,0,0,73
800,0,0,0,0,0,10
801,0,0,0,0,0,14
802,0,9,0,0,0,29
803,0,0,0,3,0,50
804,0,1,0,0,0,23
805,0,0,0,0,0,30
806,0,0,0,0,0,14
807,0,10,0,0,0,20
808,0,12,0,0,0,0
809,0,0,0,4,0,1
810,0,0,0,18,0,0
811,1,13,0,2,0,0
812,5,40,0,0,0,0
813,2,67,0,0,0,0
814,0,50,0,0,0,2
815,0,8,0,0,0,2
816,0,27,0,0,0,5
817,0,24,0,0,0,29
818,12,0,0,0,0,72
819,0,6,0,0,0,83
820,0,8,0,0,0,116
821,0,14,0,0,0,90
822,3,30,0,0,0,74
823,37,30,0,0,0,17
824,82,14,0,0,0,18
825,62,14,0,0,0,0
826,24,16,0,2,0,0
827,21,0,0,0,0,0
828,3,9,0,0,0,0
829,0,2,0,2,0,0
830,0,0,0,0,0,0
831,0,3,0,0,0,0
832,0,9,0,0,0,0
833,0,17,0,0,0,0
834,18,0,0,0,0,0
835,0,0,0,0,0,0
836,6,0,0,0,0,0
837,0,0,0,0,0,0
838,0,3,0,8,0,0
839,1,0,0,19,0,0
840,0,0,0,17,0,2
841,0,9,0,5,0,0
842,0,0,0,0,0,1
843,0,0,0,0,0,0
844,0,0,0,0,0,1
845,0,0,0,0,0,31
846,0,0,0,9,0,78
847,0,0,0,11,0,113
848,0,0,0,11,0,182
849,0,0,0,0,0,160
850,0,0,0,0,0,97
851,0,0,0,0,0,44
852,0,19,0,0,0,25
853,0,18,0,0,0,1
854,0,29,0,0,0,5
855,0,39,0,0,0,6
856,0,6,0,0,0,8
857,0,5,0,0,0,5
858,0,3,0,0,0,0
859,3,7,0,16,0,0
860,35,0,0,112,0,0
861,30,0,0,139,0,0
862,108,0,0,286,0,0
863,61,0,0,403,0,0
864,100,0,0,505,0,0
865,57,3,0,736,0,58
866,81,0,0,758,0,86
867,50,0,0,741,0,12
868,69,0,0,819,0,16
869,55,1,0,673,0,9
870,82,0,0,910,0,2
871,114,0,0,1324,0,0
872,116,0,0,2053,0,22
873,62,3,0,2498,0,54
874,99,1,0,3111,0,100
875,89,0,0,3379,0,59
876,124,0,0,3366,0,3
877,344,0,0,3199,0,0
878,681,0,0,2876,0,52
879,910,5,0,2577,0,70
880,1119,0,0,2359,0,63
881,1295,14,0,2114,0,59
882,1334,28,0,1887,0,35
883,1243,48,0,1765,0,23
884,1149,72,0,1662,2,97
885,1065,4,2,1371,0,8
886,1028,2,0,1283,0,20
887,1000,0,0,1257,2,0
888,1155,0,0,1286,0,17
889,1289,0,0,1082,8,0
890,1497,2,0,518,15,14
891,1682,0,0,548,3,0
892,1710,36,0,494,29,0
893,1893,0,1,336,3,0
894,1970,52,0,251,0,2
895,1791,25,0,68,0,6
896,1848,7,0,43,6,1
897,1471,39,0,310,24,0
898,1527,29,0,441,37,0
899,1494,9,0,397,4,0
900,1399,0,0,441,2,0
901,938,0,0,254,0,0
902,637,0,0,233,0,0
903,377,0,0,6,1,0
904,154,0,0,4,0,0
905,308,0,0,127,0,0
906,91,0,0,75,0,0
907,259,0,0,203,0,0
908,78,0,0,46,0,0
909,120,0,0,54,0,0
910,39,0,0,8,0,0
911,39,0,0,9,0,31
912,18,3,0,0,0,53
913,8,0,0,0,1,94
914,32,7,0,2,0,118
915,4,0,0,0,0,111
916,4,2,0,2,0,66
917,2,12,0,0,0,83
918,0,0,0,0,0,74
919,65,0,0,65,0,86
920,360,7,0,232,0,65
921,632,0,0,356,6,67
922,626,0,0,435,0,18
923,287,1,0,237,0,9
924,147,0,0,2,0,19
925,291,6,0,1,0,47
926,323,0,0,6,0,59
927,284,7,0,2,0,40
928,172,7,0,8,0,0
929,82,19,0,12,0,0
930,141,7,0,5,0,0
931,117,4,0,9,0,0
932,136,0,0,0,0,0
933,97,0,0,0,4,2
934,112,0,0,0,0,0
935,52,0,0,0,0,0
936,43,0,0,0,0,0
937,30,11,0,0,0,0
938,4,0,0,0,0,1
939,1,10,0,5,0,0
940,4,8,0,0,0,0
941,0,0,1,0,0,0
942,0,0,0,0,0,0
943,17,0,0,0,0,0
944,0,0,0,0,0,1
945,0,0,0,0,0,0
946,5,0,0,0,0,0
947,0,0,0,0,0,0
948,3,0,0,0,0,0
949,29,0,0,0,0,0
950,42,0,0,0,0,0
951,78,0,0,0,0,0
952,111,18,0,0,0,0
953,228,22,0,1,0,0
954,318,6,0,2,0,0
955,286,0,0,19,0,4
956,206,0,0,121,0,88
957,81,0,0,49,0,73
958,105,3,0,1,0,163
959,209,59,0,13,0,126
960,152,11,0,65,0,124
961,123,63,0,71,0,141
962,105,45,0,35,0,156
963,113,129,0,72,0,198
964,37,20,0,110,0,165
965,0,4,0,22,0,145
966,0,0,0,6,0,166
967,0,1,0,0,0,89
968,10,0,4,8,0,43
969,0,0,0,0,0,0
970,0,0,0,0,0,0
971,1,0,0,0,0,0
972,0,3,0,0,0,0
973,0,9,0,0,0,0
974,1,30,0,0,0,0
975,0,18,0,0,0,0
976,2,7,0,0,0,0
977,0,0,0,0,0,0
978,0,0,0,0,0,0
979,0,0,0,0,0,0
980,0,0,0,0,0,1
981,0,0,0,0,0,10
982,0,6,0,0,0,24
983,31,31,0,19,0,13
984,99,10,0,12,0,6
985,114,26,0,35,0,0
986,113,50,0,22,0,3
987,48,12,0,0,0,1
988,111,0,0,4,0,0
989,195,0,0,22,0,1
990,122,0,0,0,0,9
991,115,0,0,0,0,3
992,57,2,0,0,0,3
993,2,0,0,0,0,2
994,5,5,0,0,0,0
995,4,0,0,3,0,0
996,0,0,0,0,0,0
997,14,0,0,0,0,0
998,0,0,0,4,0,0
999,10,0,0,0,0,0
1000,4,0,0,0,0,5
1001,2,0,0,3,0,2
1002,0,51,0,0,0,20
1003,0,6,0,0,0,0
1004,0,8,0,0,0,4
1005,0,0,0,0,0,2
1006,0,0,0,1,0,4
1007,0,0,0,0,0,8
1008,0,0,0,0,0,0
1009,0,0,0,0,0,0
1010,0,0,0,0,0,0
1011,0,0,0,0,0,0
1012,0,2,0,0,0,0
1013,130,0,0,0,0,0
1014,257,0,0,0,0,0
1015,261,0,0,4,0,0
1016,137,22,0,14,0,0
1017,9,65,0,0,0,0
1018,67,71,0,0,0,0
1019,110,12,0,0,0,0
1020,73,0,0,0,0,0
1021,68,0,0,0,0,0
1022,69,0,0,16,0,5
1023,127,0,0,31,0,2
1024,63,0,0,34,0,5
1025,8,0,0,21,0,11
1026,21,0,0,29,0,13
1027,11,4,0,5,0,8
1028,35,0,0,34,0,55
1029,5,0,0,0,0,70
1030,0,0,0,0,0,15
1031,7,23,0,0,11,51
1032,3,43,0,0,0,10
1033,1,0,0,6,0,0
1034,2,0,0,0,0,0
1035,15,0,0,2,0,0
1036,86,0,0,35,0,0
1037,133,3,0,30,0,0
1038,127,9,0,6,0,0
1039,94,0,0,12,0,0
1040,100,0,0,0,0,38
1041,80,0,0,0,0,9
1042,88,33,0,22,0,56
1043,18,65,0,18,0,14
1044,40,88,0,48,0,9
1045,50,12,0,12,0,23
1046,23,1,0,41,0,39
1047,5,1,0,0,0,18
1048,0,0,0,0,0,2
1049,0,9,0,0,0,1
1050,0,0,0,0,0,0
1051,11,0,0,3,0,0
1052,8,4,0,11,0,0
1053,37,1,0,1,0,0
1054,103,0,0,0,0,0
1055,57,11,0,0,0,0
1056,3,0,0,0,0,0
1057,20,0,0,31,0,0
1058,62,0,0,190,0,0
1059,168,0,0,236,0,0
1060,130,0,0,80,0,0
1061,158,0,0,31,0,0
1062,63,2,0,2,0,0
1063,105,6,0,0,0,0
1064,18,1,0,5,0,0
1065,24,2,0,0,0,0
1066,47,8,0,2,0,0
1067,6,0,0,21,0,0
1068,0,0,0,11,0,0
1069,13,0,0,0,0,0
1070,52,27,0,0,0,0
1071,45,46,0,0,0,0
1072,28,40,0,0,0,3
1073,10,41,0,0,0,0
1074,0,178,0,0,0,0
1075,0,296,0,0,0,0
1076,19,54,0,0,0,0
1077,33,1,0,0,0,0
1078,26,3,0,1,0,0
1079,19,0,0,0,0,0
1080,3,0,0,0,0,0
1081,5,3,0,4,0,0
1082,5,16,0,1,0,0
1083,1,0,0,0,0,1
1084,5,0,0,0,0,0
1085,33,0,0,13,0,0
1086,105,0,0,2,0,1
1087,145,0,0,21,0,0
1088,86,15,0,5,0,0
1089,43,2,0,2,0,0
1090,44,18,0,0,0,0
1091,20,44,0,0,0,0
1092,91,19,0,0,0,0
1093,56,44,0,5,0,0
1094,57,35,0,0,0,23
1095,50,2,0,0,0,97
1096,10,1,0,0,0,46
1097,0,8,0,0,0,0
1098,2,0,0,0,0,9
1099,0,3,0,0,0,46
1100,2,6,0,0,0,100
1101,53,15,0,0,0,115
1102,29,46,0,0,0,97
1103,33,34,0,0,0,28
1104,0,55,0,0,0,0
1105,0,64,0,0,0,3
1106,47,33,0,0,0,53
1107,34,0,0,0,0,36
1108,19,5,0,0,0,4
1109,14,0,0,0,0,32
1110,10,0,0,0,0,44
1111,10,0,0,1,0,131
1112,18,2,0,9,0,60
1113,41,2,0,0,0,23
1114,38,2,0,0,0,6
1115,71,7,0,0,1,4
1116,78,11,0,0,0,6
1117,57,26,0,20,0,12
1118,64,0,0,31,0,0
1119,42,0,0,8,0,0
1120,25,2,0,6,0,0
1121,15,16,0,11,0,0
1122,1,3,0,0,0,0
1123,0,0,0,9,0,8
1124,0,1,0,0,0,16
1125,0,0,0,0,0,25
1126,7,9,0,0,0,138
1127,4,14,0,2,0,154
1128,3,0,0,0,0,260
1129,2,9,0,0,0,240
1130,0,4,0,0,0,246
1131,1,5,0,0,0,239
1132,1,6,0,0,0,157
1133,12,13,0,0,0,88
1134,79,0,0,0,0,16
1135,138,0,0,6,0,1
1136,95,0,0,0,0,0
1137,0,1,0,0,0,0
1138,32,0,0,0,0,0
1139,121,0,0,0,0,3
1140,73,0,0,2,0,0
1141,45,2,0,0,0,0
1142,0,1,0,0,0,0
1143,20,0,0,1,0,0
1144,9,0,0,0,0,0
1145,0,10,0,1,0,9
1146,0,0,0,0,0,0
