"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
301,0,20,31,6379,13088,3591
302,0,61,63,6029,11727,2013
303,0,40,91,5666,10299,1832
304,0,35,46,5190,9846,1437
305,0,9,0,4495,8461,1364
306,0,1,0,3644,6321,1336
307,4,0,0,2405,4598,1513
308,9,0,0,910,2235,1290
309,34,0,0,190,2210,1631
310,1,0,0,1297,4878,1913
311,43,0,0,1933,7109,2176
312,33,0,0,2076,9395,3077
313,3,0,0,2048,9945,3800
314,0,0,0,1953,10530,4070
315,26,0,0,2158,9301,5544
316,8,0,0,2331,8448,6432
317,10,0,0,3121,8635,7240
318,0,0,0,3589,7299,7007
319,0,0,0,3675,5515,5115
320,0,0,0,3612,4103,3281
321,15,0,0,3792,3092,2087
322,0,0,0,3841,4671,2770
323,16,0,0,4444,6531,3133
324,2,0,0,4829,7694,3167
325,0,0,0,5132,7636,2891
326,0,0,0,5126,7828,2665
327,0,8,0,5066,7365,2706
328,0,94,0,4689,6125,2854
329,2,172,0,4322,5644,3089
330,0,198,0,3388,6309,2802
331,0,68,0,2457,6587,2584
332,0,2,0,1609,6891,2368
333,0,0,0,1327,8380,2046
334,0,178,0,2356,10635,1279
335,0,124,0,3920,11433,944
336,0,39,0,5181,11556,1030
337,0,11,0,5953,10217,971
338,0,0,0,6567,10290,1120
339,0,0,0,7147,10690,991
340,0,0,0,7111,11694,1413
341,0,0,0,6964,11253,1933
342,0,19,0,6848,10322,3120
343,0,44,0,6370,8996,3245
344,0,44,0,5766,6745,3272
345,0,102,0,4844,4511,3457
346,0,25,0,3935,3730,3225
347,0,0,0,2534,3409,2909
348,0,0,0,1316,4609,2523
349,19,0,0,970,5016,1583
350,37,0,0,1548,5493,823
351,10,0,0,2175,5097,734
352,11,0,0,2140,4504,844
353,9,0,0,2176,3624,469
354,0,0,0,2122,3237,626
355,0,0,0,2363,2685,449
356,0,0,0,2500,2408,270
357,0,0,0,2559,2088,277
358,0,0,0,2295,2642,715
359,0,0,0,2025,2346,301
360,0,0,0,1683,2932,351
361,0,0,0,1161,1700,496
362,0,0,0,761,1040,334
363,0,0,0,319,1292,107
364,0,0,0,156,1510,69
365,0,0,0,130,1221,733
366,0,0,0,147,1087,689
367,0,0,0,176,332,222
368,0,0,0,95,183,368
369,0,0,0,82,107,100
370,0,0,0,82,529,29
371,0,0,0,297,859,244
372,0,0,0,641,1092,677
373,0,0,0,971,1147,907
374,0,0,0,1187,1538,1022
375,0,0,0,1560,2441,827
376,0,0,0,1783,2371,552
377,0,0,0,2044,2606,575
378,0,0,0,1858,2024,351
379,0,0,0,1729,2036,744
380,0,0,0,1556,1304,1547
381,0,0,0,1494,870,1413
382,0,0,0,1062,877,329
383,0,0,0,579,300,769
384,0,0,0,654,1603,551
385,0,0,0,626,2086,1049
386,0,0,0,855,2543,1290
387,0,0,0,1484,1878,413
388,0,0,0,2098,1801,601
389,0,0,0,2275,1190,154
390,0,0,0,2432,1020,178
391,0,0,0,2089,709,248
392,0,0,0,1555,1445,83
393,0,0,0,1054,1754,324
394,3,0,0,599,1478,238
395,6,0,0,403,751,302
396,3,0,0,557,153,220
397,0,0,0,978,325,181
398,0,0,0,1350,885,0
399,50,0,0,1314,860,0
400,269,0,0,1524,915,17
401,445,0,0,1263,765,12
402,418,0,0,924,586,9
403,365,0,0,576,212,1
404,239,0,0,287,236,21
405,174,0,0,98,44,115
406,57,0,0,48,73,155
407,9,0,0,47,37,180
408,105,12,0,15,120,0
409,280,44,0,32,198,12
410,213,20,0,17,78,132
411,293,0,0,46,38,257
412,214,0,0,12,154,331
413,149,0,0,25,14,175
414,127,0,0,94,45,0
415,33,0,0,152,48,0
416,1,0,0,270,17,0
417,0,0,0,241,3,0
418,0,0,0,554,154,0
419,0,0,0,713,116,0
420,0,0,0,969,536,0
421,0,0,0,1012,292,0
422,0,0,0,1058,466,0
423,0,0,0,918,149,0
424,0,0,0,865,276,0
425,0,0,0,691,30,0
426,0,0,0,541,109,0
427,0,0,0,360,46,0
428,0,0,0,88,59,0
429,0,0,0,12,1,0
430,0,0,0,1,17,0
431,0,0,0,0,0,0
432,0,0,0,5,0,0
433,0,0,0,25,0,0
434,0,0,0,13,3,0
435,0,0,0,7,11,0
436,0,0,0,9,3,0
437,0,0,0,0,0,0
438,0,0,0,2,0,0
439,0,0,0,0,0,0
440,0,0,0,0,0,0
441,0,0,0,0,0,0
442,0,0,0,2,0,0
443,0,0,0,17,0,0
444,0,0,0,2,0,0
445,0,0,0,0,84,0
446,19,0,0,0,69,19
447,26,0,0,0,129,113
448,0,0,0,39,174,56
449,17,0,0,141,63,0
450,3,0,0,282,132,0
451,0,0,0,476,339,41
452,0,0,0,478,250,141
453,0,0,0,519,100,33
