"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
1351,0,0,0,0,0,0
1352,3,3,6,1109,3224,4
1353,0,0,0,0,0,0
1354,0,0,0,992,2836,0
1355,0,0,0,0,0,0
1356,3,0,0,1126,2719,0
1357,0,0,0,0,0,0
1358,0,0,0,1066,2716,0
1359,0,0,0,2001,2601,0
1360,0,0,0,0,0,0
1361,0,0,0,944,1454,0
1362,0,0,0,0,0,0
1363,0,0,2,793,1096,0
1364,0,0,0,0,0,0
1365,0,0,16,1109,1537,0
1366,0,0,0,0,0,0
1367,4,0,4,750,1165,2
1368,0,0,0,0,0,0
1369,0,0,0,0,0,0
1370,0,0,17,1020,1533,0
1371,0,0,0,0,0,0
1372,3,0,0,187,45,0
1373,0,0,0,0,0,0
1374,300,282,0,50,168,0
1375,0,0,0,0,0,0
1376,668,661,0,305,1278,0
1377,0,0,0,0,0,0
1378,879,925,0,450,2157,0
1379,970,1114,0,588,2787,0
1380,0,0,0,0,0,0
1381,990,1299,81,737,3510,5
1382,0,0,0,0,0,0
1383,503,1719,0,667,3473,0
1384,0,0,0,0,0,0
1385,216,2322,0,1051,3865,4
1386,0,0,0,0,0,0
1387,12,2995,0,1105,4583,33
1388,0,0,0,0,0,0
1389,0,0,0,0,0,0
1390,0,0,0,0,0,0
1391,269,4470,63,1574,7689,169
1392,47,2821,93,1053,6205,70
1393,0,0,0,0,0,0
1394,52,2130,92,927,7303,53
1395,0,0,0,0,0,0
1396,98,2094,5,752,8151,192
1397,0,0,0,0,0,0
1398,7,831,4,756,8991,647
1399,0,0,0,0,0,0
1400,152,1573,8,773,9089,342
1401,0,0,0,0,8,0
1402,54,1656,12,873,9699,260
1403,22,533,0,1038,9635,762
1404,0,0,0,0,0,0
1405,14,1408,3,900,9745,166
1406,0,0,0,0,0,0
1407,0,0,0,0,0,0
1408,0,0,0,0,0,0
1409,116,1459,0,1433,12852,243
1410,0,0,0,0,0,0
1411,1,1280,0,826,8635,624
1412,0,0,0,0,0,0
1413,75,1317,12,907,7628,929
1414,0,774,0,427,6079,968
1415,0,0,0,0,0,0
1416,0,1286,0,70,5185,1412
1417,0,0,0,0,0,0
1418,68,1258,0,33,3865,1720
1419,0,0,0,0,0,0
1420,4,913,0,452,3760,1410
1421,0,0,0,0,0,0
1422,18,781,0,442,2982,1236
1423,0,0,0,0,0,0
1424,0,960,0,279,2303,1243
1425,0,0,0,0,0,0
1426,0,1125,20,231,1859,1072
1427,0,571,0,254,1497,890
1428,0,0,0,0,0,0
1429,0,0,0,0,0,0
1430,0,0,0,0,0,0
1431,0,933,0,670,900,715
1432,0,0,0,0,0,0
1433,2,958,7,585,383,240
1434,0,0,0,3,2,0
1435,0,1230,0,589,279,113
1436,2,1241,0,605,40,0
1437,0,0,0,0,0,0
1438,0,1068,0,373,124,13
1439,0,0,0,0,0,0
1440,36,1088,0,405,150,129
1441,0,6,0,2,0,0
1442,32,1442,11,658,244,74
