"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
1411,3,311,70,1,0,6
1412,0,259,64,0,0,6
1413,0,375,56,0,0,92
1414,0,172,40,0,0,109
1415,0,179,27,0,0,229
1416,0,28,0,0,0,73
1417,15,15,18,0,16,319
1418,4,3,20,0,2,467
1419,2,77,1,0,43,613
1420,3,37,1,0,76,553
1421,15,15,1,0,46,635
1422,0,7,0,0,58,620
1423,0,0,0,1,69,707
1424,0,28,0,0,54,470
1425,0,41,0,0,0,271
1426,0,91,0,0,0,163
1427,1,32,0,0,0,215
1428,0,101,0,0,7,430
1429,0,26,0,0,0,155
1430,0,0,0,0,6,77
1431,0,3,0,0,0,81
1432,0,21,0,0,0,404
1433,0,0,0,0,0,398
1434,1,0,0,0,0,549
1435,0,0,0,0,0,630
1436,0,0,0,0,0,932
1437,0,0,0,7,59,1100
1438,0,2,0,4,134,1167
1439,0,12,0,42,536,620
1440,0,4,0,159,913,350
1441,0,15,0,456,978,341
1442,0,0,0,426,988,392
1443,0,0,0,407,921,641
1444,2,28,0,313,658,297
1445,0,0,0,381,575,359
1446,0,0,0,361,579,117
1447,0,0,0,286,556,164
1448,0,18,0,197,436,12
1449,0,3,0,124,396,68
1450,0,29,0,0,21,13
1451,1,42,0,4,31,35
1452,6,12,0,0,2,0
1453,13,23,0,3,1,0
1454,0,12,0,0,0,0
1455,0,7,0,10,6,1
1456,0,10,0,4,24,0
1457,0,0,0,0,0,0
1458,0,20,0,0,4,1
1459,0,32,0,8,46,25
1460,0,25,0,0,4,90
1461,0,51,0,0,1,5
1462,0,16,0,0,1,19
1463,3,0,0,0,0,3
1464,0,2,0,0,1,9
1465,0,6,0,0,0,18
1466,0,0,0,0,2,0
1467,0,13,0,0,0,0
1468,0,17,0,4,0,4
1469,0,7,0,0,0,1
1470,5,32,2,0,0,12
1471,19,17,0,0,0,3
1472,39,0,0,0,0,0
1473,0,8,0,3,0,0
1474,0,0,0,2,0,4
1475,0,8,0,0,0,3
1476,0,0,0,15,0,0
1477,0,17,0,11,0,2
1478,0,21,0,76,0,4
1479,0,0,0,123,13,4
1480,0,78,0,65,61,5
1481,0,121,0,107,55,47
1482,0,68,0,114,56,79
