"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
241,0,0,0,923,12899,4189
242,12,0,0,875,14259,4779
243,56,16,0,1219,15577,5387
244,46,66,0,1057,15177,5393
245,19,0,0,1303,15046,5777
246,5,0,0,1613,13635,5489
247,16,23,0,1802,10871,4582
248,66,1,0,2240,6571,3336
249,12,0,0,2602,7822,2518
250,26,0,0,3261,10680,1796
251,0,0,0,4114,13501,3418
252,0,0,0,4835,14409,4242
253,0,0,0,5454,15459,4308
254,16,0,0,5877,15552,4243
255,29,0,0,6091,15713,3963
256,3,0,0,6148,15519,3995
257,1,0,0,5999,15585,3965
258,0,0,0,5635,14684,3584
259,8,0,0,5347,13051,2288
260,14,0,0,4853,10597,953
261,4,0,0,4246,9296,1412
262,0,0,0,3288,6737,1568
263,0,0,0,2316,4390,1244
264,11,0,0,1057,4202,586
265,12,0,0,535,5790,595
266,0,0,0,2073,8326,776
267,0,0,0,3473,9927,887
268,0,0,0,4512,11120,1267
269,1,0,0,5216,11911,1304
270,0,0,0,5893,12898,1330
271,0,0,0,6410,13358,1777
272,0,0,0,6763,14362,2095
273,0,0,0,6903,15362,2814
274,0,0,0,6990,16750,3804
275,3,0,0,7061,16840,4764
276,0,0,0,6913,16819,4580
277,0,0,0,6600,19135,4112
278,0,0,0,6196,20366,3931
279,0,0,0,5910,19517,2791
280,0,0,0,5387,19171,2807
281,0,0,0,4933,19950,4267
282,0,0,0,4518,19900,3875
283,0,0,0,4169,18093,4467
284,0,0,0,3514,13389,4550
285,0,0,0,2943,10873,3650
286,0,0,0,1536,10441,2361
287,0,0,0,1065,11473,1606
288,0,0,0,860,12650,1155
289,0,0,0,1349,11644,1613
290,0,0,0,1577,10527,1786
291,0,0,0,1815,8809,3228
292,0,0,0,1952,5098,746
293,0,0,0,2127,5036,496
294,0,0,0,2020,2516,191
295,0,0,0,2225,2155,386
296,0,0,0,2144,2991,421
297,0,0,0,2573,3467,92
298,0,0,0,2747,3099,204
299,0,0,0,3140,2688,129
300,0,0,0,3298,1801,151
301,0,0,0,3178,1050,119
302,0,0,0,2710,548,145
303,0,0,0,1893,677,134
304,0,0,0,1185,1115,85
305,0,0,0,776,906,61
306,0,0,0,171,323,35
307,0,0,0,0,288,131
308,0,0,0,4,606,41
309,0,0,0,210,1038,119
310,0,0,0,613,1232,207
311,0,0,0,728,1010,276
312,0,0,0,868,825,482
313,0,0,0,817,710,515
314,0,0,0,635,524,383
315,0,0,0,533,493,227
316,0,0,0,485,716,535
317,0,0,0,311,682,351
318,0,0,0,147,265,132
319,0,0,0,121,264,148
320,0,0,0,251,272,158
321,0,0,0,423,181,6
322,0,0,0,450,183,133
323,0,0,0,430,412,439
324,0,0,0,221,681,551
325,0,0,0,149,480,420
326,0,0,0,147,256,78
327,0,0,0,198,66,98
328,0,0,0,303,15,0
329,0,0,0,281,107,9
330,0,0,0,127,42,0
331,0,0,0,0,48,1
332,0,0,0,0,88,0
333,0,0,0,0,66,0
334,0,0,0,0,115,0
335,0,0,0,46,234,0
336,0,0,0,510,439,0
337,0,0,0,1187,194,0
338,0,0,0,1661,295,0
339,0,0,0,2088,157,0
340,0,0,0,2392,352,3
341,0,0,0,2624,548,4
342,0,0,0,2697,858,6
343,0,0,0,2855,877,24
344,0,0,0,2736,1066,40
345,0,0,0,2541,541,27
346,0,0,0,2427,232,0
347,0,0,0,2192,128,0
348,0,0,0,2021,35,5
349,0,0,0,1566,119,34
350,0,0,0,1245,188,20
351,0,0,0,849,119,14
352,0,0,0,420,187,0
353,0,0,0,389,348,0
354,0,0,0,300,153,0
355,0,0,0,72,172,26
356,0,0,0,167,216,30
357,0,0,0,117,402,228
358,0,0,0,49,566,271
359,0,0,0,162,504,2
360,0,0,0,255,680,102
361,0,0,0,34,365,0
362,0,0,0,328,272,41
363,0,0,0,556,39,51
364,0,0,0,798,47,2
365,0,0,0,655,60,33
366,0,0,0,939,194,94
367,0,0,0,1037,159,205
368,0,0,0,832,689,407
369,0,0,0,687,299,9
370,0,0,0,696,414,166
371,0,0,0,528,822,112
372,0,0,0,486,598,58
373,0,0,0,425,987,368
374,0,0,0,399,683,495
375,0,0,0,463,625,495
376,0,0,0,249,143,103
377,0,0,0,254,91,118
378,0,0,0,190,50,6
379,0,0,0,87,68,107
380,0,0,0,45,114,8
381,0,0,0,100,28,0
382,0,0,0,134,12,2
383,0,0,0,150,36,0
384,0,0,0,63,2,1
385,0,0,0,109,6,0
386,0,0,0,155,1,0
387,0,0,0,35,1,0
388,0,0,0,38,0,0
389,0,0,0,13,0,0
390,0,0,0,0,5,0
391,0,0,0,22,103,8
392,0,0,0,27,1,0
393,0,0,0,8,9,3
394,0,0,0,0,0,2
395,0,0,0,22,5,0
396,0,0,0,38,0,3
397,0,0,0,32,1,0
398,0,0,0,0,0,0
399,0,0,0,0,6,0
400,0,0,0,4,0,0
401,0,0,0,1,0,3
402,0,0,0,11,0,3
403,0,0,0,14,16,2
404,0,0,0,53,0,0
405,0,0,0,158,25,0
406,0,0,0,128,2,2
407,0,0,0,203,1,0
408,0,0,0,250,0,0
409,0,0,0,196,12,0
410,0,0,0,120,34,0
411,0,0,0,22,46,0
412,238,0,0,32,45,0
413,553,23,4,72,72,0
414,1076,28,52,8,61,0
415,1232,65,75,0,45,0
416,1320,100,115,1,25,0
417,1275,222,208,0,11,0
418,1327,404,206,5,7,0
419,1220,552,153,16,96,0
420,1285,554,216,35,179,0
421,1353,547,261,22,241,0
422,1354,480,248,31,72,0
423,1423,389,257,47,20,0
424,1912,261,190,157,68,0
425,2322,198,253,183,117,0
426,2610,280,238,287,279,0
427,2337,367,292,253,246,0
428,1737,323,301,243,443,0
429,1131,303,276,158,463,0
430,441,341,167,95,628,0
431,193,236,111,101,836,0
432,49,73,23,103,769,0
433,64,21,32,96,979,0
434,149,3,0,180,1145,7
435,160,51,0,120,1261,0
436,39,50,2,156,1442,7
437,47,10,34,113,970,8
438,184,57,134,74,717,0
439,176,249,159,48,451,0
440,47,362,212,51,174,0
441,178,739,169,0,41,0
442,303,1145,160,0,10,0
443,252,1241,98,72,373,0
444,186,1021,29,55,131,3
445,90,468,4,230,261,18
446,80,105,21,216,165,0
447,111,30,29,298,66,0
448,324,191,43,326,55,0
449,515,438,122,219,31,0
450,510,884,252,160,0,0
451,578,1334,191,57,22,0
452,298,866,243,5,0,0
453,61,266,185,53,87,0
454,1,81,128,5,0,0
455,2,8,167,47,132,0
456,0,9,271,0,2,3
457,97,43,348,8,7,1
458,248,64,390,0,6,2
459,342,9,280,0,8,0
460,490,13,0,0,0,0
461,525,108,111,0,11,0
462,711,339,348,0,0,0
463,548,382,473,7,0,0
464,563,266,659,0,0,0
465,446,174,769,8,11,0
466,179,43,737,5,11,2
467,88,31,773,3,4,0
468,12,12,590,3,0,1
469,0,0,180,14,7,0
470,0,2,89,14,29,0
471,0,0,202,19,2,0
472,12,0,106,1,0,0
473,3,3,27,12,50,0
474,0,0,23,6,0,0
475,0,0,0,5,0,0
476,21,0,0,10,0,0
477,126,2,0,0,1,0
478,177,0,0,0,1,0
479,165,0,0,1,0,0
480,143,0,0,0,1,0
481,111,0,0,1,22,0
482,59,0,0,0,19,0
483,31,0,0,0,0,0
484,8,0,0,2,0,0
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,0,0,25,0,0
488,0,0,0,95,0,0
489,0,0,0,43,0,0
490,0,0,0,7,4,0
491,0,0,0,22,7,0
492,0,0,0,64,1,0
493,0,0,0,108,0,0
494,0,0,0,28,0,0
495,0,0,0,0,3,0
496,0,0,0,5,49,0
497,0,0,0,35,38,0
498,0,0,0,104,7,0
499,0,0,0,93,21,0
500,0,0,0,40,60,0
501,0,0,0,51,7,0
502,0,0,0,53,0,0
503,0,0,0,21,0,0
504,0,0,0,0,0,0
505,0,0,0,0,0,0
506,0,0,0,0,0,0
507,0,0,0,0,0,0
508,0,0,0,0,0,0
509,0,0,0,6,0,0
510,0,0,0,38,0,0
