"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
241,0,0,0,1940,1641,3004
242,0,0,0,1844,1956,2913
243,0,0,0,1754,2741,2163
244,0,0,0,2117,2885,1626
245,0,0,0,1924,2250,978
246,0,0,0,1629,1742,923
247,0,0,0,1367,1501,816
248,0,0,0,868,1176,541
249,0,0,0,387,769,312
250,0,0,0,245,968,849
251,0,0,0,348,1318,1624
252,0,0,0,251,1859,2051
253,0,0,0,428,1845,1927
254,0,0,0,650,1152,1624
255,0,0,0,610,1797,1477
256,0,0,0,528,1574,1639
257,0,0,0,631,1791,2275
258,0,0,0,1067,2190,2179
259,0,0,0,1408,2722,2079
260,0,0,0,1987,4073,1377
261,0,0,0,2357,5313,273
262,0,0,0,2426,6391,345
263,0,0,0,2525,7325,620
264,0,0,0,2698,8435,794
265,0,0,0,2820,9663,862
266,0,0,0,2410,10943,732
267,0,0,0,1976,11305,904
268,0,0,0,1162,11010,1211
269,0,0,0,510,9822,1886
270,0,0,0,402,8959,2686
271,0,0,0,817,7345,3329
272,0,0,0,1694,6590,3136
273,0,0,0,2692,5844,3366
274,0,0,0,3674,4624,2380
275,0,0,0,4385,3697,2054
276,0,0,0,4701,3678,1181
277,0,0,0,4780,3308,1072
278,22,0,0,4801,3458,1540
279,202,2,0,4603,3508,1620
280,498,49,0,4299,2897,1261
281,916,159,0,3678,2701,1503
282,1020,279,0,3103,2289,1708
283,886,147,0,2446,1590,1645
284,539,39,0,1719,1382,1057
285,425,166,0,973,1366,738
286,657,83,0,446,1897,1188
287,490,84,0,641,2799,3323
288,50,6,0,1033,3485,3954
289,30,13,0,1022,3176,4102
290,0,0,0,548,2234,2970
291,0,1,0,494,2944,2358
292,0,0,0,1426,3742,3676
293,0,0,0,1731,3532,3551
294,0,0,0,1505,2503,2339
295,0,0,0,487,1527,1945
296,0,0,0,18,1177,1584
297,0,0,0,305,1193,1239
298,0,0,0,504,995,444
299,0,0,0,833,946,54
300,0,0,0,1039,848,282
301,0,0,0,1144,531,379
302,0,0,0,1135,385,271
303,0,0,0,1010,349,76
304,0,0,0,853,309,395
305,0,0,0,518,417,1713
306,0,0,0,358,597,2748
307,0,0,0,362,844,2196
308,0,0,0,333,658,436
309,0,0,0,291,764,230
310,0,0,0,257,277,125
311,0,0,0,235,191,147
312,0,0,0,248,407,137
313,0,0,0,143,63,119
314,0,0,0,93,0,22
315,0,0,0,61,15,61
316,0,0,0,30,34,137
317,0,0,0,0,47,244
318,0,0,0,0,206,626
319,0,0,0,43,335,949
320,0,0,0,40,217,839
321,0,0,0,68,10,111
322,0,0,0,62,67,359
323,0,0,0,38,506,1881
324,0,0,0,58,704,1654
325,0,0,0,95,450,940
326,0,0,0,99,177,239
327,0,0,0,214,34,41
328,0,0,0,192,117,23
329,0,0,0,104,11,46
330,0,0,0,103,68,234
331,0,0,0,92,254,1980
332,0,0,0,65,416,2695
333,0,0,0,142,881,2843
334,0,0,0,287,1865,2827
335,0,0,0,282,3062,2831
336,0,0,0,225,3753,2970
337,0,0,0,198,4295,2925
338,0,0,0,176,5282,2995
339,0,0,0,160,5194,2450
340,0,0,0,165,5203,2462
341,0,0,0,199,5243,1981
342,0,0,0,288,4745,1312
343,0,0,0,451,4957,1104
344,0,0,0,555,6734,1034
345,0,0,0,935,8040,1093
346,0,0,0,1432,8653,1262
347,0,0,0,1744,6510,1256
348,0,0,0,1622,6524,1691
349,0,0,0,1501,6639,1785
350,0,0,0,1594,5754,2662
351,0,0,0,1731,5465,2743
352,0,0,0,1544,4788,3389
353,0,0,0,1126,2944,2395
354,0,0,0,1050,1359,922
355,0,0,0,672,1439,605
356,0,0,0,317,938,504
357,0,0,0,97,231,154
358,0,0,0,89,101,140
359,0,0,0,176,49,199
360,0,0,0,374,305,296
361,0,0,0,433,471,380
362,0,0,0,505,624,596
363,0,0,0,939,677,410
364,0,0,0,1190,455,120
365,0,0,0,1606,24,0
366,0,0,0,1745,109,88
367,0,0,0,1917,629,206
368,0,0,0,1808,458,148
369,0,0,0,1935,640,181
370,0,0,0,1704,450,367
371,33,2,0,1607,1254,421
372,38,0,0,1361,1020,280
373,307,34,0,993,1138,253
374,1071,119,0,471,516,248
375,1650,334,0,390,642,121
376,1944,430,0,246,414,49
377,1785,558,0,171,619,1
378,1155,353,0,155,660,0
379,940,228,0,121,575,35
380,822,423,0,101,605,30
381,1303,471,0,96,821,234
382,1332,378,0,170,1360,913
383,582,208,0,212,2097,1576
384,790,187,0,292,2149,2007
385,498,163,0,269,2431,2471
386,347,133,0,324,3665,2812
387,229,33,0,336,5465,2180
388,72,19,0,303,7550,1981
389,199,19,0,258,9891,1504
390,463,10,0,351,11444,984
391,307,7,0,224,12079,88
392,205,1,0,214,11779,25
393,25,0,0,239,11075,0
394,0,0,0,120,10576,1
395,0,0,0,67,9944,6
396,0,0,0,171,9738,0
397,0,0,0,321,9708,5
398,0,0,0,431,9344,147
399,0,0,0,453,8756,140
400,0,0,0,579,7711,298
401,0,0,0,584,6062,196
402,0,0,0,568,3766,38
403,0,0,0,240,1080,0
404,0,0,0,43,134,0
405,0,0,0,12,61,0
406,0,0,0,4,87,0
407,0,0,0,10,46,1
408,0,0,0,12,36,0
409,0,0,0,16,24,0
410,0,0,0,2,2,0
411,0,0,0,32,46,0
412,0,0,0,70,87,0
413,0,0,0,75,134,0
414,0,0,0,108,231,0
415,0,0,0,95,455,0
416,0,0,0,139,862,0
417,0,0,0,139,871,0
418,0,0,0,262,1253,29
419,0,0,0,327,1438,115
420,0,0,0,608,2266,507
421,0,0,0,723,3001,625
422,0,0,0,863,4470,679
423,0,0,0,761,7382,727
424,0,0,0,648,9677,609
425,0,0,0,593,12190,77
426,0,0,0,771,14852,457
427,0,0,0,981,16343,721
428,0,0,0,1325,16384,1133
429,0,0,0,1642,15200,1498
430,0,0,0,1929,13433,1757
431,0,0,0,1677,11878,2263
432,0,0,0,1678,8083,2443
433,0,0,0,1198,6270,1625
434,0,0,0,323,3879,1235
435,0,0,0,148,1911,400
436,0,0,0,515,901,202
437,0,0,0,711,684,66
438,0,0,0,254,157,56
439,0,0,0,85,58,52
440,0,0,0,82,20,8
441,0,0,0,185,155,181
442,0,0,0,34,89,80
443,0,0,0,36,64,29
444,0,0,0,60,110,14
445,0,0,0,84,26,1
